Structure,Substructure,Makespan,Final_Solve,Total_Solve,Obj,Num
82,2,6,0.077,2.099,14,5
82,3,8,0.289,7.738,18,3
82,4,7,0.167,4.630,7,2
82,5,7,0.143,4.528,7,2
82,6,9,0.432,17.068,16,3
82,7,6,0.076,2.225,8,2
82,8,7,0.133,5.058,11,3
82,9,7,0.158,13.831,9,3
82,10,6,0.074,2.107,8,3
82,11,6,0.070,2.111,4,1
82,12,5,0.021,0.777,2,1
83,0,7,0.207,13.839,9,3
83,1,6,0.080,2.190,14,5
83,2,7,0.174,4.712,11,3
83,3,8,0.296,8.741,18,4
83,4,9,0.524,10.685,23,4
83,5,7,0.152,4.596,11,3
83,6,6,0.075,2.158,4,1
83,7,6,0.070,2.209,12,4
83,8,7,0.136,4.564,7,2
83,9,7,0.141,4.612,7,2
83,10,7,0.134,13.916,7,2
83,11,6,0.063,2.136,4,1
83,12,6,0.072,2.112,4,1
83,13,6,0.052,2.093,8,3
84,0,6,0.083,2.152,12,4
84,1,8,0.304,7.339,20,4
84,2,6,0.092,2.256,8,3
84,3,8,0.310,7.415,14,3
84,4,8,0.296,7.763,16,4
84,5,6,0.078,2.246,8,3
84,6,7,0.162,4.608,7,2
84,7,6,0.069,2.128,6,2
84,8,7,0.152,4.551,7,2
84,9,5,0.024,0.831,2,1
84,10,5,0.025,0.854,2,1
84,11,5,0.038,0.829,2,1
85,0,7,0.181,14.031,11,3
85,1,6,0.094,2.202,10,4
